id_institucion,id_comuna,nombre_institucion,nivel,afiliacion_institucion
10224,83,Escuela Basica N°2047 Mirasol De Santiago,Basico/Medio,Privada
10225,83,Esc. Especial Hospital San Juan De Dios,Basico/Medio,Publica
10226,83,Escuela Especial N° 2065 Integracion Plena,Basico/Medio,Publica
10227,83,Centro De Educacion Integrada De Ad. Creando,Basico/Medio,Publica
10228,83,Escuela Especial N 2086 Hospital Clinico Pontificia Universidad Católica De Chile,Basico/Medio,Publica
10229,83,Esc. Bas. Ejercito De Salvacion De Santiago,Basico/Medio,Publica
10230,83,Colegio Intectur,Basico/Medio,Privada
10231,83,Colegio De Adultos Altazol De Santiago,Basico/Medio,Publica
10232,83,Centro Educacional Integral De Adult Acuario,Basico/Medio,Publica
10233,83,Liceo Bicentenario Italia,Basico/Medio,Publica
10234,83,Liceo  De  Adultos  Insieme,Basico/Medio,Publica
10235,83,Centro Vitamina Barrio República,Basico/Medio,Privada
10236,83,Centro Vitamina San Francisco,Basico/Medio,Privada
10237,83,Jardín Infantil Conejito Blanco,Basico/Medio,Privada
10238,83,Centro Vitamina Ahumada,Basico/Medio,Privada
10239,83,Centro Vitamina Amunategui,Basico/Medio,Privada
10240,83,Centro Vitamina Sazie,Basico/Medio,Privada
10241,83,Centro Vitamina Paseo Bulnes,Basico/Medio,Privada
10242,83,Sala Cuna Y Jardín Infantil Fantasia,Basico/Medio,Privada
10243,83,Sala Cuna Nenitos,Basico/Medio,Privada
10244,83,Sala Cuna Y Jardín Infantil Zona De Niños,Basico/Medio,Privada
10245,83,Centro  Vitamina Alameda,Basico/Medio,Privada
10246,83,Centro  Vitamina Ñuble,Basico/Medio,Privada
10247,83,Sala Cuna Y Jardin Infantil  Amanecer,Basico/Medio,Privada
10248,83,Sala Cuna Calidoscopio Del Ministerio De Hacienda,Basico/Medio,Privada
10249,100,Pontificia Universidad Catolica De Chile Campus San Joaquín,Superior,Privada
10250,100,Universidad De Chile Campus Sur,Superior,Publica
10251,100,Universidad Tecnica Federico Santa María Campus San Joaquin,Superior,Publica
10252,100,Inacap Sede Macul,Superior,Publica
10253,100,Liceo Polivalente Mercedes Marin Del Solar,Basico/Medio,Publica
10254,100,Liceo Villa Macul Academia Ex Liceo Juana De Ibarbourou A 48,Basico/Medio,Publica
10255,100,Liceo Bicentenario Joaquin Edwards Bello,Basico/Medio,Publica
10256,100,Escuela Jose Bernardo Suarez,Basico/Medio,Publica
10257,100,Escuela Bas. Centro Educacional Millantu,Basico/Medio,Publica
10258,100,Escuela Basica Municipalizada De Macul,Basico/Medio,Privada
10259,100,Escuela Basica Jose Pedro Alessandri,Basico/Medio,Privada
